Регион,geojson_name
Алтайский край,Алтайский край
Амурская область,Амурская область
Архангельская область,Архангельская область
Астраханская область,Астраханская область
Белгородская область,Белгородская область
Брянская область,Брянская область
Владимирская область,Владимирская область
Волгоградская область,Волгоградская область
Вологодская область,Вологодская область
Воронежская область,Воронежская область
Еврейская автономная область,Еврейская автономная область
Забайкальский край,Забайкальский край
Ивановская область,Ивановская область
Иркутская область,Иркутская область
Калининградская область,Калининградская область
Калужская область,Калужская область
Камчатский край,Камчатский край
Кемеровская область — Кузбасс,Кемеровская область
Кировская область,Кировская область
Костромская область,Костромская область
Краснодарский край,Краснодарский край
Красноярский край,Красноярский край
Курганская область,Курганская область
Курская область,Курская область
Ленинградская область,Ленинградская область
Липецкая область,Липецкая область
Магаданская область,Магаданская область
Москва,Москва
Московская область,Московская область
Мурманская область,Мурманская область
Ненецкий автономный округ,Ненецкий автономный округ
Нижегородская область,Нижегородская область
Новгородская область,Новгородская область
Новосибирская область,Новосибирская область
Омская область,Омская область
Оренбургская область,Оренбургская область
Орловская область,Орловская область
Пензенская область,Пензенская область
Пермский край,Пермский край
Приморский край,Приморский край
Псковская область,Псковская область
Республика Адыгея,Адыгея
Республика Алтай,Алтай
Республика Башкортостан,Башкортостан
Республика Бурятия,Бурятия
Республика Дагестан,Дагестан
Республика Кабардино-Балкария,Кабардино-Балкарская республика
Республика Калмыкия,Республика Калмыкия
Республика Карачаево-Черкесия,Карачаево-Черкесская республика
Республика Карелия,Республика Карелия
Республика Коми,Республика Коми
Республика Марий Эл,Марий Эл
Республика Мордовия,Республика Мордовия
Республика Саха (Якутия),Республика Саха (Якутия)
Республика Северная Осетия — Алания,Северная Осетия - Алания
Республика Татарстан (Татарстан),Татарстан
Республика Тыва,Тыва
Республика Удмуртия,Удмуртская республика
Республика Хакасия,Республика Хакасия
Республика Чувашия,Чувашия
Ростовская область,Ростовская область
Рязанская область,Рязанская область
Самарская область,Самарская область
Санкт-Петербург,Санкт-Петербург
Саратовская область,Саратовская область
Сахалинская область,Сахалинская область
Свердловская область,Свердловская область
Смоленская область,Смоленская область
Ставропольский край,Ставропольский край
Тамбовская область,Тамбовская область
Тверская область,Тверская область
Томская область,Томская область
Тульская область,Тульская область
Тюменская область,Тюменская область
Ульяновская область,Ульяновская область
Хабаровский край,Хабаровский край
Ханты-Мансийский автономный округ — Югра,Ханты-Мансийский автономный округ - Югра
Челябинская область,Челябинская область
Ямало-Ненецкий автономный округ,Ямало-Ненецкий автономный округ
Ярославская область,Ярославская область
